Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,
Date extracted: 2016-03-31 19:48:42 +02:00,,,
,,,
Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations)
2012,Rep. of Korea,Syrian Arab Rep.,
2012,Kuwait,Syrian Arab Rep.,15
2012,Lebanon,Syrian Arab Rep.,126939
2012,Libya,Syrian Arab Rep.,
2012,Sri Lanka,Syrian Arab Rep.,1
2012,Lithuania,Syrian Arab Rep.,5
2012,Latvia,Syrian Arab Rep.,17
2012,"China, Macao SAR",Syrian Arab Rep.,
2012,Morocco,Syrian Arab Rep.,
2012,Rep. of Moldova,Syrian Arab Rep.,55
2012,Mexico,Syrian Arab Rep.,2
2012,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,
2012,Malta,Syrian Arab Rep.,191
2012,Montenegro,Syrian Arab Rep.,
2012,Malaysia,Syrian Arab Rep.,4
2012,Niger,Syrian Arab Rep.,
